City,2007,2008,2009,2012,2013,2014,2015,2010
Hyderabad,100,90.0,88,95,93,95,97,90.0
Faridabad,100,205.0,207,211,216,222,224,206.0
Patna,100,151.0,152,154,153,157,160,151.5
Ahmedabad,100,191.0,192,213,217,215,215,195.75
Chennai,100,314.0,310,355,362,366,364,325.0
Jaipur,100,87.0,112,102,101,103,102,106.0
Lucknow,100,189.0,183,193,196,198,200,189.25
Pune,100,205.0,221,241,242,247,251,226.25
Surat,100,150.0,140,161,160,164,168,151.5
Kochi,100,87.0,89,86,88,88,88,85.5
Bhopal,100,216.0,230,229,232,233,239,224.0
Kolkata,100,209.0,197,211,209,215,212,197.5
Mumbai,100,217.0,222,233,238,240,238,223.5
Bengaluru,100,106.0,109,108,109,113,115,108.25
Delhi,100,195.0,202,193,189,189,190,196.0
Bhubaneswar,100,172.0,197,196,197,192,188,196.25
Guwahati,100,166.0,153,159,160,163,168,152.5
Ludhiana,100,179.0,167,147,146,147,145,150.5
Vijayawada,100,185.0,184,163,161,162,163,165.5
Indore,100,194.0,195,187,188,191,195,182.25
Chandigarh,100,,194,175,174,173,169,188.5
Coimbatore,100,,184,176,180,176,179,174.75
Dehradun,100,,183,187,188,187,190,186.25
Meerut,100,,191,159,159,161,163,175.25
Nagpur,100,,163,181,180,184,187,171.25
Raipur,100,,156,166,165,171,173,159.25
