City,2007,2008,2009,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2012,2013,2014,2015
Hyderabad,100,90,88,84,88,93,95,95,93,95,97
Faridabad,100,205,207,202,204,209,209,211,216,222,224
Patna,100,151,152,147,150,159,150,154,153,157,160
Ahmedabad,100,191,192,186,191,197,209,213,217,215,215
Chennai,100,314,310,303,318,330,349,355,362,366,364
Jaipur,100,87,112,110,108,105,101,102,101,103,102
Lucknow,100,189,183,187,191,185,194,193,196,198,200
Pune,100,205,221,219,219,235,232,241,242,247,251
Surat,100,150,140,142,145,154,165,161,160,164,168
Kochi,100,87,89,86,86,85,85,86,88,88,88
Bhopal,100,216,230,227,220,223,226,229,232,233,239
Kolkata,100,209,197,189,199,196,206,211,209,215,212
Mumbai,100,217,222,221,222,222,229,233,238,240,238
Bengaluru,100,106,109,108,107,111,107,108,109,113,115
Delhi,100,195,202,199,190,196,199,193,189,189,190
Bhubaneswar,100,172,197,195,193,202,195,196,197,192,188
Guwahati,100,166,153,147,149,160,154,159,160,163,168
Ludhiana,100,179,167,157,150,150,145,147,146,147,145
Vijayawada,100,185,184,174,167,161,160,163,161,162,163
Indore,100,194,195,184,180,184,181,187,188,191,195
Chandigarh,100,,194,191,192,188,183,175,174,173,169
Coimbatore,100,,184,178,178,173,170,176,180,176,179
Dehradun,100,,183,184,184,186,191,187,188,187,190
Meerut,100,,191,189,176,171,165,159,159,161,163
Nagpur,100,,163,168,162,175,180,181,180,184,187
Raipur,100,,156,155,157,159,166,166,165,171,173
